"provider","doi","citeulike","connotea","scopus","ploscounter","pmc","facebook","mendeley","twitter","date_modified"
"altmetric","10.1371/journal.pone.0023574",0,0,NA,NA,NA,NA,3,1,2011-08-23
"impactstory","10.1371/journal.pone.0023574",NA,NA,6,1117,3,NA,6,1,2013-05-13
"plosalm","10.1371/journal.pntd.0001584",0,0,8,3080,422,3,6,0,2013-05-13
"altmetric","10.1371/journal.pntd.0001584",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pntd.0001584",NA,NA,8,3053,4,NA,6,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023572",0,0,2,960,431,0,5,0,2013-05-13
"altmetric","10.1371/journal.pone.0023572",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0023572",NA,NA,2,941,1,NA,5,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034229",0,0,0,753,347,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034229",0,0,NA,NA,NA,NA,0,1,2012-04-07
"impactstory","10.1371/journal.pone.0034229",NA,NA,NA,722,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023571",0,0,1,910,603,1,6,0,2013-05-13
"altmetric","10.1371/journal.pone.0023571",0,0,NA,NA,NA,1,4,2,2011-08-26
"impactstory","10.1371/journal.pone.0023571",NA,NA,1,890,1,NA,6,3,2013-05-13
"plosalm","10.1371/journal.pone.0050197",0,0,0,635,88,1,2,1,2013-05-13
"altmetric","10.1371/journal.pone.0050197",0,0,NA,NA,NA,1,1,1,2012-11-23
"impactstory","10.1371/journal.pone.0050197",NA,NA,NA,623,NA,NA,2,NA,2013-05-13
"plosalm","10.1371/journal.pone.0044884",0,0,0,458,115,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0044884",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0044884",NA,NA,NA,451,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0031555",0,0,0,690,151,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0031555",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0031555",NA,NA,NA,650,NA,NA,NA,1,2013-05-13
"plosalm","10.1371/journal.pone.0034217",0,0,1,844,508,0,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0034217",0,0,NA,NA,NA,NA,0,1,2012-03-29
"impactstory","10.1371/journal.pone.0034217",NA,NA,1,812,NA,NA,1,NA,2013-05-13
"plosalm","10.1371/journal.pone.0050198",0,0,0,757,180,1,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0050198",0,0,NA,NA,NA,1,0,NA,2012-12-09
"impactstory","10.1371/journal.pone.0050198",NA,NA,NA,747,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023562",0,0,0,758,234,0,1,0,2013-05-13
"altmetric","10.1371/journal.pone.0023562",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0023562",NA,NA,NA,734,4,NA,1,2,2013-05-13
"plosalm","10.1371/journal.pone.0034221",0,0,2,863,338,5,7,0,2013-05-13
"altmetric","10.1371/journal.pone.0034221",0,0,NA,NA,NA,NA,4,1,2012-05-14
"impactstory","10.1371/journal.pone.0034221",NA,NA,2,832,1,NA,7,NA,2013-05-13
"plosalm","10.1371/journal.pone.0023560",0,0,6,1154,582,0,17,0,2013-05-13
"altmetric","10.1371/journal.pone.0023560",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0023560",NA,NA,6,1030,1,NA,18,NA,2013-05-13
"plosalm","10.1371/journal.pone.0042197",0,0,0,626,145,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0042197",0,0,NA,NA,NA,NA,0,1,2012-09-21
"impactstory","10.1371/journal.pone.0042197",NA,NA,NA,613,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0028909",1,0,0,1239,263,0,9,0,2013-05-13
"altmetric","10.1371/journal.pone.0028909",1,0,NA,NA,NA,1,144,3,2012-01-04
"impactstory","10.1371/journal.pone.0028909",NA,NA,NA,1131,NA,NA,9,1,2013-05-13
"plosalm","10.1371/journal.pone.0052867",0,0,0,445,131,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0052867",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0052867",NA,NA,NA,441,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pntd.0001580",0,0,0,1915,75,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pntd.0001580",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pntd.0001580",NA,NA,NA,1901,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0034223",0,0,2,907,259,0,2,0,2013-05-13
"altmetric","10.1371/journal.pone.0034223",0,0,NA,NA,NA,NA,2,1,2012-03-26
"impactstory","10.1371/journal.pone.0034223",NA,NA,2,861,NA,NA,2,1,2013-05-13
"plosalm","10.1371/journal.pone.0034222",0,0,0,1001,161,0,6,3,2013-05-13
"altmetric","10.1371/journal.pone.0034222",0,0,NA,NA,NA,NA,5,6,2013-01-08
"impactstory","10.1371/journal.pone.0034222",NA,NA,NA,967,NA,NA,7,5,2013-05-13
"plosalm","10.1371/journal.pone.0026229",0,0,7,2434,733,0,4,0,2013-05-13
"altmetric","10.1371/journal.pone.0026229",0,0,NA,NA,NA,NA,3,2,2011-10-21
"impactstory","10.1371/journal.pone.0026229",NA,NA,7,2332,3,NA,4,3,2013-05-13
"plosalm","10.1371/journal.pone.0034128",1,0,0,737,155,0,NA,0,2013-05-13
"altmetric","10.1371/journal.pone.0034128",999,999,NA,NA,NA,999,999,999,1970-01-01
"impactstory","10.1371/journal.pone.0034128",NA,NA,NA,694,NA,NA,NA,NA,2013-05-13
"plosalm","10.1371/journal.pone.0052785",0,0,0,333,118,0,NA,0,2013-05-13
